id,name_collection,revenue
862,Toy Story Collection,373554033.0
8844,,262797249.0
15602,Grumpy Old Men Collection,0.0
31357,,81452156.0
11862,Father of the Bride Collection,76578911.0
949,,187436818.0
11860,,0.0
45325,,0.0
9091,,64350171.0
710,James Bond Collection,352194034.0
9087,,107879496.0
12110,,0.0
21032,Balto Collection,11348324.0
10858,,13681765.0
1408,,10017322.0
524,,116112375.0
4584,,135000000.0
5,,4300000.0
9273,Ace Ventura Collection,212385533.0
11517,,35431113.0
8012,Chili Palmer Collection,115101622.0
1710,,0.0
9691,,30303072.0
12665,,0.0
451,,49800000.0
16420,,0.0
9263,,27400000.0
17015,,0.0
902,,1738611.0
37557,,0.0
9909,,180000000.0
63,,168840000.0
78802,,0.0
9598,Babe Collection,254134910.0
47018,,0.0
687,,39363635.0
139405,,0.0
33689,,0.0
9603,,0.0
34615,,676525.0
31174,,0.0
11443,,0.0
35196,,0.0
9312,Mortal Kombat Collection,122195920.0
577,,21284514.0
11861,,23574130.0
807,,327311859.0
10530,Pocahontas Collection,346079773.0
8391,,0.0
629,,23341568.0
117164,,0.0
11448,,6700000.0
49133,,0.0
26441,,0.0
97406,,0.0
124057,,0.0
9089,,17519169.0
11010,,0.0
99040,,0.0
11359,,0.0
17182,,0.0
2054,,106269971.0
10607,,0.0
19760,,0.0
9536,,0.0
11525,The Lawnmower Man Collection,2409225.0
40628,,0.0
4482,,0.0
10634,Friday Collection,28215918.0
755,From Dusk Till Dawn Collection,25836616.0
11859,,11534477.0
28387,,718490.0
48750,,0.0
20927,,19030691.0
36929,,2042530.0
9102,Screamers Collection,5781885.0
124626,,0.0
27526,,0.0
9623,,0.0
46785,,0.0
400,,529766.0
880,,0.0
146599,,0.0
188588,,0.0
8447,,0.0
10534,,10300000.0
17414,,0.0
13997,,32.0
2086,,8175346.0
61548,,0.0
9095,,12379402.0
12158,,19800000.0
9283,,0.0
9208,,150270147.0
40154,,0.0
406,,0.0
45549,,0.0
63076,,0.0
11062,,0.0
13685,,560069.0
47475,,0.0
2045,,0.0
9614,,41205099.0
688,,182016617.0
11907,,0.0
10874,The Muppet Collection,34327391.0
89333,,0.0
96357,,0.0
197,,210000000.0
103,,28262574.0
33542,,32392047.0
43566,,0.0
71754,,0.0
43612,,0.0
51352,,1.0
16934,,0.0
10324,,0.0
78406,,6278139.0
55731,,0.0
32119,,0.0
11066,,70100000.0
11104,,0.0
37975,,0.0
2074,,14702438.0
27793,The Neverending Story Collection,0.0
44284,,0.0
290157,,0.0
110972,,0.0
32622,,0.0
73067,,0.0
11863,,9851610.0
55475,,0.0
124636,,0.0
9101,,0.0
123360,,0.0
5757,,209935.0
39428,,0.0
124639,,0.0
9302,,0.0
11000,,185260553.0
249882,,0.0
16388,,0.0
9737,Bad Boys Collection,141407024.0
30765,,0.0
10474,,0.0
22279,,851545.0
30157,,0.0
568,,355237933.0
11780,,31596911.0
34996,,0.0
414,Batman Collection,336529144.0
649,,0.0
1873,,0.0
5894,Brooklyn Cigar Store Collection,1275000.0
1775,,178104.0
8839,Casper Collection,287928194.0
20649,,13071518.0
10329,,152022101.0
8963,,157387195.0
26564,,3174695.0
8068,Mexico Trilogy,25405445.0
8512,,16140822.0
1572,Die Hard Collection,366101666.0
13552,Teenage Apocalypse Trilogy,0.0
259209,,0.0
6520,,127600435.0
9073,Free Willy Collection,0.0
10428,,7563728.0
17447,,0.0
9886,,19075720.0
9482,,113493481.0
19326,,17014653.0
9344,,7412216.0
9071,,1148752.0
8973,,0.0
15730,,0.0
47608,,15453274.0
2293,,2122561.0
9070,Power Rangers Collection,66000000.0
68274,,0.0
48787,,1.0
34574,,0.0
1642,Síť (kolekce),110627965.0
11472,,69660733.0
36196,,472370.0
11980,The Prophecy Collection,16.0
58372,,0.0
32646,,0.0
10533,,10382407.0
56088,,0.0
10802,Showgirls Collection,20350754.0
10149,Brooklyn Cigar Store Collection,8349430.0
18402,,50892160.0
9348,Species Collection,113374103.0
139408,,0.0
281,,7959291.0
5967,,0.0
79593,,5780000.0
47939,,7025496.0
36834,,339889.0
9090,,47774193.0
3512,Under Siege Collection,104324083.0
52856,,0.0
77350,,0.0
9560,,50012507.0
9804,,264218220.0
31611,,0.0
65796,,0.0
49805,,0.0
26258,,0.0
50797,Burnt by the Sun Trilogy,2616503.0
19155,,763847.0
76,Before... Collection,5535405.0
11017,,26488734.0
37141,,0.0
9382,,23450000.0
6715,,0.0
18256,,0.0
22625,,0.0
2292,Clerks Collection,3151130.0
1909,,22200000.0
8984,,214015089.0
61813,,0.0
4954,,0.0
62488,,0.0
10531,,0.0
11929,,0.0
8467,Dumb and Dumber Collection,247275374.0
10451,,7294403.0
20156,,0.0
18395,,6841570.0
522,,5887457.0
397,,0.0
10525,,0.0
27985,,0.0
15789,A Goofy Movie Collection,35348597.0
27303,,12201255.0
21183,,0.0
10954,,0.0
47867,,3992809.0
43475,,0.0
72031,,0.0
14275,,7830611.0
1024,,3049135.0
17207,,26325256.0
13701,,0.0
14819,,17689177.0
32631,,0.0
11777,,0.0
628,The Vampire Chronicles,223664608.0
87729,,2474000.0
18713,,0.0
6280,,37000000.0
9061,,0.0
37108,,0.0
6071,,0.0
11,Star Wars Collection,775398007.0
9587,,0.0
19101,,0.0
49980,,0.0
17961,,0.0
18183,,21665468.0
4476,,160638883.0
11008,,0.0
47504,,0.0
32325,,0.0
43742,,0.0
28313,,7603766.0
11318,,0.0
3036,,112006296.0
40490,,0.0
24070,,0.0
8986,,18137661.0
10510,,46264384.0
17402,,5.0
38722,,0.0
8438,,17381942.0
11593,,0.0
1945,,106683817.0
39310,,0.0
109560,,0.0
56428,,0.0
63105,Nemesis Collection,0.0
131957,,0.0
